Assay_Type	AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	cultivar	ecotype	geo_loc_name	sample_ID	sample_description	subgroup	BioProject	BioSampleModel	Consent	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySource	Platform	ReleaseDate	SRA_Study	dev_stage	isolate	tissue
WGS	199	SAMN06564748	sra	SRX2645988	Illumina HiSeq 2000	RANDOM	STP_DL_01	2018-05-22	5719	4365	Solanum verrucosum	SRR5349572	SRS2051329	STP_DL_01	NA	PI 275260	Mexico: Pachuca, Real del Monte, in the woods above the town.	PI 275260	STP_DL_01; PI 275260 verrucosum 2x, leaf tissue - genomic DNA sheared to 300bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564747	sra	SRX2645989	Illumina HiSeq 2000	RANDOM	STP_DJ_01	2017-03-16	4473	3108	Solanum etuberosum	SRR5349573	SRS2051330	STP_DJ_01	NA	PI 558288	Chile: Colchagua. Ca. 3 km (by air) SSE of Sierras de Bellavista, by streamside, in quebrada Las Aletillas.	PI 558288	STP_DJ_01; PI 558288 etuberosum 2x, leaf tissue - genomic DNA sheared to 300bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564746	sra	SRX2645990	Illumina HiSeq 2000	RANDOM	STP_DI_01	2017-03-16	5493	3808	Solanum jamesii	SRR5349574	SRS2051331	STP_DI_01	NA	PI 458424	Mexico: Catron. 9.8 km NE of Aragon, 1.6 km SW of Continental Divide.	PI 458424	STP_DI_01; PI 458424 jamesii 2x, leaf tissue - genomic DNA sheared to 300bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	199	SAMN06564745	sra	SRX2645991	Illumina HiSeq 2000	RANDOM	STP_DH_01	2017-03-21	4181	3237	Solanum ehrenbergii	SRR5349575	SRS2051332	STP_DH_01	NA	PI 275216	Mexico: San Juan del Rio-Queretaro road, 17 miles before Bernal, Cerro Galeras, E of the road.	PI 275216	STP_DH_01; PI 275216 ehrenbergii 2x, leaf tissue - genomic DNA sheared to 300bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564744	sra	SRX2645992	Illumina HiSeq 2000	RANDOM	STP_DG_01	2017-03-16	4885	3403	Solanum chomatophilum	SRR5349576	SRS2051333	STP_DG_01	NA	PI 365339	Peru: Cerro Huishca, enroute to Paucartambo.	PI 365339	STP_DG_01; PI 365339 chomatophilum 2x, leaf tissue - genomic DNA sheared to 300bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564743	sra	SRX2645993	Illumina HiSeq 2000	RANDOM	SCP_AE	2017-03-16	59165	39004	Solanum tuberosum	SRR5349577	SRS2051334	SCP_AE	Snowden	NA	USA: breeding program (in vitro clone)	Snowden	SCP_AE; Snowden, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564623	sra	SRX2645994	Illumina HiSeq 2000	RANDOM	SCP_AD	2017-03-16	59025	38569	Solanum tuberosum	SRR5349578	SRS2051335	SCP_AD	Atlantic	no	USA: breeding program (in vitro clone)	Atlantic	Atlantic, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564742	sra	SRX2645997	Illumina HiSeq 2000	RANDOM	SCP_AC	2017-03-16	93899	67092	Solanum tuberosum	SRR5349579	SRS2051338	SCP_AC	Kalkaska	NA	USA: breeding program (in vitro clone)	Kalkaska	SCP_AC; Kalkaska, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564741	sra	SRX2645998	Illumina HiSeq 2000	RANDOM	SCP_AB	2017-03-16	51228	32117	Solanum tuberosum	SRR5349580	SRS2051339	SCP_AB	Missaukee	NA	USA: breeding program (in vitro clone)	Missaukee	SCP_AB; Missaukee, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	200	SAMN06564740	sra	SRX2645999	Illumina HiSeq 2000	RANDOM	SCP_AA	2017-03-16	59386	38831	Solanum tuberosum	SRR5349581	SRS2051340	SCP_AA	Russet Norkotah	NA	USA: breeding program (in vitro clone)	Russet Norkotah	SCP_AA; Russet Norkotah, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
